texts,labels
this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ... that have no bearing on the story ,0
leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ,0
"strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder ",0
"provides the kind of ` laugh therapy ' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . ",1
", nor are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent . ",0
"gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug . ",1
"( fiji diver rusi vulakoro and the married couple howard and michelle hall ) show us the world they love and make us love it , too . ",1
"cassavetes thinks he 's making dog day afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon . ",0
"of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves ",0
be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows ,0
"take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that ",0
of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids ,0
"fontaine 's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal . ",1
", the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy . ",1
", spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man . ",0
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . ,1
"has far more energy , wit and warmth than should be expected from any movie with a `` 2 '' at the end of its title . ",1
"as much as i laughed throughout the movie , i can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain . ",1
"it 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress . ",0
"and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen . ",1
straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . ,0
"the new film is a subzero version of monsters , inc. , without the latter 's imagination , visual charm or texture . ",0
"on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb ",1
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) . ,1
made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes ,1
"thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies ",0
"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative . ",1
"reminds us that , in any language , the huge stuff in life can usually be traced back to the little things . ",1
"sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams . ",0
"plays like a badly edited , 91-minute trailer ( and ) the director ca n't seem to get a coherent rhythm going ",0
"it winds up moving in many directions as it searches ( vainly , i think ) for something fresh to say . ",0
mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything . ,0
hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time ,1
"a whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish . ",1
"it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through ",0
", it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss . ",1
"a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . ",0
"drumline ' shows a level of young , black manhood that is funny , touching , smart and complicated . ",1
"nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant ",0
to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original ,1
limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy ,0
"boldly stroked , luridly colored , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain . ",0
"the filmmakers are playing to the big boys in new york and l.a. to that end , they mock the kind of folks they do n't understand , ones they figure the power-lunchers do n't care to understand , either . ",0
"is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ",0
"bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i have n't encountered since at least pete 's dragon . ",1
"through putrid writing , direction and timing with a smile that says , ` if i stay positive , maybe i can channel one of my greatest pictures , drunken master . ' ",0
"which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ",0
"one of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise . ",1
"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and ",1
"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . ",0
"manages for but a few seconds over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ",0
wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear ,1
abandon spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed . ,0
"hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound . ",0
an older cad instructs a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy . ,1
"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror . ",0
"whenever you think you 've seen the end of the movie , we cut to a new scene , which also appears to be the end . ",0
"while the production details are lavish , film has little insight into the historical period and its artists , particularly in how sand developed a notorious reputation . ",0
"because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags . ",0
"ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . ",1
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film . ,1
"showtime is n't particularly assaultive , but it can still make you feel that you never want to see another car chase , explosion or gunfight again ",0
"a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing ",1
